Years BP,CO2 (ppmv),sigma mean CO2 (ppmv),bag,ztop,AICC2012,deutfinal,temp,acc-EDC3beta,Temperature_Celsius,EDC1999 depth [m],CH4 mean [ppbv],1 s uncertainty  [ppbv],"Bern, Grenoble"
-51.02999999999997,368.02248790241714,0.06044223118819268,,,,,,,,,,,
-50.0,,,1.0,0.0,-55.0,,218.3,3.105321,103.5,,,,
-48.0,361.78073658846415,0.37,,,,,,,,,,,
-46.27927212999998,359.6477931830841,0.09800013305630571,,,,,,,,,,,
-44.40564212000004,357.10673969933646,0.15992297477058243,,,,,,,,,,,
-43.55977,,,2.0,0.55,-50.51333333,,218.3,3.104805,103.5,,,,
-43.07999999999993,353.94668533391206,0.043007103067185457,,,,,,,,,,,
-42.313517060000095,353.72423581425323,0.22109260758219432,,,,,,,,,,,
-41.134816709999996,352.41630841973364,0.10224717910565151,,,,,,,,,,,
-39.97139973000003,350.8086522409729,0.1618703262528373,,,,,,,,,,,
-39.407967809999946,349.8002703595191,0.13522326519795974,,,,,,,,,,,
-38.966334940000024,349.27841464963046,0.1261487222797995,,,,,,,,,,,
-38.06951193000009,347.59740561133145,0.4031964736043833,,,,,,,,,,,
-37.44019,,,3.0,1.1,-46.02666667,,218.3,3.104404,103.5,,,,
-37.20859160000009,345.44120600376243,0.03236440260727777,,,,,,,,,,,
-36.616016200000104,344.71776861346984,0.09387945585027316,,,,,,,,,,,
-36.14322833999995,343.9736767615952,0.060520378828762864,,,,,,,,,,,
-35.76218001999996,343.1107520502481,0.14370612931476692,,,,,,,,,,,
-34.916752950000046,342.0519764062061,0.46168058172044946,,,,,,,,,,,
-33.07684986999993,341.3292967441024,0.09745203958926607,,,,,,,,,,,
-33.02591865999989,339.4604885213476,0.30194194663196283,,,,,,,,,,,
-31.64156,,,4.0,1.65,-41.54,,218.3,3.104025,103.5,,,,
-29.14258988000006,334.84855553252345,0.3749721983570837,,,,,,,,,,,
-26.796750369999927,335.54695345792317,0.6340970031591255,,,,,,,,,,,
-26.67036968000002,332.3689555204767,1.2670729590719434,,,,,,,,,,,
-25.570921230000067,332.3656863259178,0.03940064690413842,,,,,,,,,,,
-24.55278,,,5.0,2.2,-34.51666667,,218.3,3.103453,103.5,,,,
-24.133413320000045,331.54980566810485,0.6341096077098353,,,,,,,,,,,
-22.088334380000106,328.41588801232757,0.6341029732809323,,,,,,,,,,,
-22.041017810000085,330.3504422217994,2.2143920320771286,,,,,,,,,,,
-20.872681979999925,326.3093257445175,1.3421433574187778,,,,,,,,,,,
-20.65630200999999,326.6491948420144,1.1616820462425592,,,,,,,,,,,
-20.637150239999983,324.9059936630005,0.17552764973670698,,,,,,,,,,,
-20.22168347999991,324.5570616692709,0.6340878698843293,,,,,,,,,,,
-19.423218019999922,324.70605757685405,0.6340788835955808,,,,,,,,,,,
-18.98437082999999,325.07717594979096,0.6340901325992147,,,,,,,,,,,
-18.813869489999888,324.08551736938495,0.6340723741433282,,,,,,,,,,,
-18.53874855999993,320.38065078205506,1.161646626068965,,,,,,,,,,,
-17.78422,,,6.0,2.75,-27.49333333,,218.3,3.102677,103.5,,,,
-16.78904407999994,320.4923553617883,1.161661606592592,,,,,,,,,,,
-16.54523532999997,322.1747797142201,1.3421349593107779,,,,,,,,,,,
-15.866011569999955,320.98156635342656,1.742192460570347,,,,,,,,,,,
-15.297878110000056,319.1950596158425,0.9505340862308761,,,,,,,,,,,
-15.226349230000096,319.8929363220089,0.6340673091157356,,,,,,,,,,,
-13.564495589999979,319.12347301713646,0.9414084379614795,,,,,,,,,,,
-13.200018279999995,319.06606441856763,0.6340641844304099,,,,,,,,,,,
-12.6152798600001,318.61106261456985,0.8978636498143594,,,,,,,,,,,
-12.542091540000001,317.4481354802273,0.6340573456508688,,,,,,,,,,,
-12.395341090000102,319.1381732232432,0.6340644686271447,,,,,,,,,,,
-12.321916399999964,317.5216280215933,0.6340576539777507,,,,,,,,,,,
-11.71589999999992,316.59261011941027,0.6354905315601179,,,,,,,,,,,
-11.01305,,,7.0,3.3,-20.47,,218.3,3.101557,103.5,,,,
-10.568661719999909,318.20658038167187,1.7230639998931299,,,,,,,,,,,
-10.31404479999992,313.0933880516286,1.8125207605745384,,,,,,,,,,,
-9.092695849999927,311.98389241638387,1.8125192068450537,,,,,,,,,,,
-8.56297111999993,316.3340200101121,0.9414004868608352,,,,,,,,,,,
-8.102785849999918,316.1014028920352,1.7230606961916066,,,,,,,,,,,
-7.872424290000026,314.57216625352925,0.41090257566000843,,,,,,,,,,,
-7.257538840000052,315.2703546298443,1.1616551462109328,,,,,,,,,,,
-7.203373640000109,316.3253801823537,0.12694297547743788,,,,,,,,,,,
-7.103747099999964,314.4370577968855,0.7862770621623857,,,,,,,,,,,
-6.157200000000103,315.342073915026,0.6354715422654317,,,,,,,,,,,
-4.795964650000087,314.7139613439055,2.214638063555554,,,,,,,,,,,
-3.791544359999989,313.1710570119369,0.634039485403577,,,,,,,,,,,
-3.7139373699999396,312.8003637775662,0.6340379489030816,,,,,,,,,,,
-3.5585613600001125,312.22274083278216,1.4243345489180328,,,,,,,,,,,
-3.2703,,,8.0,3.85,-12.21333333,,218.3,3.099708,103.5,,,,
-2.3839181700000154,312.1844627182946,0.4108872849421976,,,,,,,,,,,
